ID,Doza_snaga,Doza_jedinica_mjere
438968,15,mg
438969,10,mg
438970,5,mg
438984,10,mg
438992,15,mg
438998,20,mg
439001,1,mg
439042,2.5,mg
439069,245,mg
439123,5,mg
439134,10,mg
439154,150,mg
439156,420,mg
439192,1,g
439295,25,mg
439301,100,mg
439308,150,mg
439331,600,i.j.
439416,400,mg
439417,400,mg
439428,50,mg
439430,50,mg
439555,23.75,mg
439557,23.75,mg
439565,47.5,mg
439567,47.5,mg
439568,95,mg
439570,95,mg
439746,400,mg
439798,2.5,mg
439800,2.5,mg
439804,5,mg
439806,5,mg
439809,10,mg
439811,10,mg
439906,20,mg
439907,15,mg
439934,5,mg
439967,40,mg
440014,25,mg
440029,75,mg
440031,150,mg
440033,300,mg
440101,400,mg
440108,600,mg
440377,10,mg
440386,15,mg
440390,20,mg
440511,3.15,mg
440565,25,mg
440566,25,mg
440586,50,mg
440587,50,mg
440590,75,mg
440591,75,mg
440596,150,mg
440597,150,mg
440601,300,mg
440602,300,mg
440691,250,mg
440743,250,mg
440744,250,mg
440780,3,g
440788,500,mg
440819,12.5,mg
440820,12.5,mg
440821,12.5,mg
440823,12.5,mg
440824,12.5,mg
440825,12.5,mg
440827,25,mg
440828,25,mg
440829,25,mg
440838,25,mg
440839,25,mg
440840,25,mg
440852,37.5,mg
440853,37.5,mg
440854,37.5,mg
440865,50,mg
440866,50,mg
440867,50,mg
440918,100,mg
440921,150,mg
440972,2,mg
440974,2,mg
441170,10,mg
441172,10,mg
441340,75,mg
441384,5,mg
441387,5,mg
441475,1000000,i.j.
441581,50,mg
441583,100,mg
441663,5,mg
441668,500,mg
441791,5,mg
441792,5,mg
441794,20,mg
441795,20,mg
441814,10,mg
441843,15,mg
441845,20,mg
441851,10,mg
441852,10,mg
441859,250,mg
441865,500,mg
441987,5,mg
441988,5,mg
441992,10,mg
441993,10,mg
441997,1000,mg
442071,200,mg
442073,100,mg
442133,250,mg
442148,50,mg
442184,100,mg
442188,5,mg
442190,10,mg
442248,240,mg
442253,5,mL
442294,1,mg
442296,1,mg
442297,1,mg
442308,2,mg
442309,2,mg
442310,2,mg
442344,200,mg
442406,500,i.j.
442410,420,mg
442411,150,mg
442427,180,mg
442435,360,mg
442442,1000,i.j.
442622,200,mg
442623,200,mg
442625,200,mg
442734,2,mg
442738,20,mg
442764,1,g
442765,1,g
442827,250,mg
442906,20,mg
442907,61,mg
442925,10,mg
442988,600,mg
442989,600,mg
443024,400,mg
443082,1,mg
443083,1,mg
443088,15,mg
443097,3.5,mg
443098,3.5,mg
443111,100,mg
443188,1,g
443329,5,mg
443347,10,mg
443383,10,mg
443385,10,mg
443396,20,mg
443398,20,mg
443627,1,mg
443628,1,mg
443633,2.5,mg
443634,2.5,mg
443639,3.5,mg
443640,3.5,mg
443674,75,mg
443697,1,g
443699,1,g
443702,1,g
443747,5,mg
443832,100,mg
443873,25,mg
443874,25,mg
443880,50,mg
443882,100,mg
443883,100,mg
443886,100,mg
443890,200,mg
443891,200,mg
443902,150,mg
443904,200,mg
443936,2,mg
444050,40,mg
444220,150,mg
444223,300,mg
444224,300,mg
444225,300,mg
444227,150,mg
444246,20,mg
444268,10,mg
444309,25,mg
444311,50,mg
444420,150,mg
444660,250,mg
444663,500,mg
